1964,5.87283464567
1965,5.96478873239
1966,5.89536082474
1967,5.88720379147
1968,5.93397683398
1969,5.91150793651
1970,5.96199261993
1971,5.92912280702
1972,5.9037037037
1973,5.90156862745
1974,5.91563786008
1975,5.89197324415
1976,5.87571428571
1977,5.92685512367
1978,5.9750877193
1979,5.98893617021
1980,6.01274131274
1981,5.99377777778
1982,5.97431192661
1983,5.98791946309
1984,6.01725663717
1985,5.98007117438
1986,5.9273381295
1987,6.03649635036
1988,5.95634920635
1989,5.92091254753
1990,5.96785714286
1991,6.00253164557
1992,5.98026315789
1993,5.99494163424
1994,5.99484536082
1995,6.01606648199
1996,5.97961783439
1997,5.99075630252
1998,6.01791044776
1999,6.0
2000,6.17702702703
2001,6.21032608696
2002,6.17582417582
2003,6.20825242718
2004,6.175
2005,6.17252252252
2006,6.17906976744
2007,6.22070707071
